ROLE,PROJECT_CATEGORY,ACTIVITY,MON,TUE,WED,THUR,FRI,SAT,SUN,PROJECT_START_DATE_DAY,PROJECT_START_DATE_MONTH,PROJECT_START_DATE_YEAR,PROJECT_END_DATE_DAY,PROJECT_END_DATE_MONTH,PROJECT_END_DATE_YEAR,ATTENDANCE_REGULARIZATION,EMAIL_DOMAIN
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,1,1,8,2,8,3,10,7,9,2024,02,12,2024,02,26,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,06,29,2023,07,27,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,22,2023,05,13,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,8,2,8,3,10,7,9,2023,04,15,2023,05,06,0,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,1,1,10,10,3,11,1,12,8,2024,02,12,2024,02,26,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,22,2023,05,13,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,1,10,10,3,11,1,12,8,2023,06,29,2023,07,27,1,61
1,0,1,10,10,3,11,1,12,8,2023,04,15,2023,05,06,1,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,22,2023,05,13,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,06,29,2023,07,27,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,0,0,6,10,9,8,2,8,7,2023,04,15,2023,05,06,0,61
1,1,0,6,10,9,8,2,8,7,2024,02,12,2024,02,26,0,61
